Age group and ages, Sex, Urban and rural areas, Macroregions  development regions and counties, Years, MU: Persons, Valoare
Total, Total, Total, TOTAL, Year 2019, Number of persons, 19414458
Total, Total, Total, Bucharest Municipality, Year 2019, Number of persons, 1829897
